Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2015,4/3/2015, Signed a 10-day contract with the Los Angeles Lakers.,Dwight Buycks,Signed,Los Angeles Lakers.,Los Angeles Lakers
2017,4/3/2017, Signed a multi-year contract with the Orlando Magic,Marcus Georges-Hunt,Signed,Orlando Magic,Orlando Magic
2018,4/3/2018, Signed a contract for the rest of the season with the Memphis Grizzlies,Marquis Teague,Signed,Memphis Grizzlies,Memphis Grizzlies
2019,4/3/2019, Waived by the Philadelphia 76ers.,Justin Patton,Waived,no,no
2019,4/3/2019, Recalled from the of the G-League.,B.J. Johnson,Recalled,no,no
2021,4/3/2021, Waived by the Houston Rockets.,Ben McLemore,Waived,no,no
2021,4/3/2021, Waived by the Houston Rockets.,Justin Patton,Waived,no,no
2021,4/3/2021, Signed a 10-day contract with the New Orleans Pelicans.,Isaiah Thomas,Signed,New Orleans Pelicans.,New Orleans Pelicans
2021,4/3/2021, Waived by the Sacramento Kings.,DaQuan Jeffries,Waived,no,no
2021,4/3/2021, Signed a two-way contract with the Houston Rockets,Armoni Brooks,Signed,Houston Rockets,Houston Rockets
2022,4/3/2022, Signed a 10-day contract with the Portland Trail Blazers.,Drew Eubanks,Signed,Portland Trail Blazers.,Portland Trail Blazers
2022,4/3/2022, Recalled from the Maine Celtics of the G-League.,Malik Fitts,Recalled,no,no
2022,4/3/2022, Signed a contract with the Detroit Pistons,Carsen Edwards,Signed,Detroit Pistons,Detroit Pistons
2022,4/3/2022, Recalled from the Maine Celtics of the G-League.,Sam Hauser,Recalled,no,no
2022,4/3/2022, Signed a two-way contract with the Detroit Pistons,Braxton Key,Signed,Detroit Pistons,Detroit Pistons
2022,4/3/2022, Signed a 10-day contract with the Portland Trail Blazers.,Kris Dunn,Signed,Portland Trail Blazers.,Portland Trail Blazers
2021,4/30/2021, Signed a two-way contract with the Sacramento Kings,Louis King,Signed,Sacramento Kings,Sacramento Kings
2021,4/30/2021, Signed a contract for the rest of the season with the Denver Nuggets,Austin Rivers,Signed,Denver Nuggets,Denver Nuggets
2019,4/4/2019, Signed a contract for the rest of the season with the Orlando Magic,Michael Carter-Williams,Signed,Orlando Magic,Orlando Magic
2019,4/4/2019, Waived by the Orlando Magic.,Isaiah Briscoe,Waived,no,no
2019,4/4/2019, Signed a contract for the rest of the season with the San Antonio Spurs,Donatas Motiejūnas,Signed,San Antonio Spurs,San Antonio Spurs
2019,4/4/2019, Signed a contract for the rest of the season with the Philadelphia 76ers,Greg Monroe,Signed,Philadelphia 76ers,Philadelphia 76ers
2019,4/4/2019, Waived by the Memphis Grizzlies.,Dusty Hannahs,Waived,no,no
2021,4/4/2021, Signed a contract extension with the Milwaukee Bucks,Jrue Holiday,Signed,Milwaukee Bucks,Milwaukee Bucks
2022,4/4/2022, Signed a 10-day contract with the Oklahoma City Thunder.,Georgios Kalaitzakis,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2022,4/4/2022, Signed a 10-day contract with the Oklahoma City Thunder.,Zavier Simpson,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2014,4/5/2014, Not re-signed by Milwaukee Bucks,D.J. Stephens,Not,no,no
2018,4/5/2018, Signed a contract with the New Orleans Pelicans,Jordan Crawford,Signed,New Orleans Pelicans,New Orleans Pelicans
2019,4/5/2019, Waived by the Washington Wizards.,Wesley Johnson,Waived,no,no
2019,4/5/2019, Signed a contract for the rest of the season with the Memphis Grizzlies,Tyler Zeller,Signed,Memphis Grizzlies,Memphis Grizzlies
2021,4/5/2021, Claimed on waivers by the Houston Rockets from the Sacramento Kings,DaQuan Jeffries,Claimed,ouston Rockets from the Sacram,ouston Rockets from the Sacram
2021,4/5/2021, Waived by the Oklahoma City Thunder.,Justin Jackson,Waived,no,no
2021,4/5/2021, Signed a 10-day contract with the Los Angeles Clippers.,DeMarcus Cousins,Signed,Los Angeles Clippers.,Los Angeles Clippers
2021,4/5/2021, Signed a 10-day contract with the Oklahoma City Thunder.,Justin Robinson,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2021,4/5/2021, Signed a two-way contract with the Oklahoma City Thunder,Jaylen Hoard,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2021,4/5/2021, Signed a 10-day contract with the New York Knicks.,John Henson,Signed,New York Knicks.,New York Knicks
2014,4/6/2014, Assigned to the Canton Charge of the G-League.,Scotty Hopson,Assigned,no,no
2016,4/6/2016, Signed a contract for the rest of the season with the Philadelphia 76ers,Christian Wood,Signed,Philadelphia 76ers,Philadelphia 76ers
2018,4/6/2018, Signed a multi-year contract with the Memphis Grizzlies,Omari Johnson,Signed,Memphis Grizzlies,Memphis Grizzlies
2018,4/6/2018, Signed a contract for the rest of the season with the Utah Jazz,David Stockton,Signed,Utah Jazz,Utah Jazz
2018,4/6/2018, Recalled from the South Bay Lakers of the G-League.,Travis Wear,Recalled,no,no
2018,4/6/2018, Signed a multi-year contract with the Memphis Grizzlies,MarShon Brooks,Signed,Memphis Grizzlies,Memphis Grizzlies
2018,4/6/2018, Signed a contract for the rest of the season with the Boston Celtics,Jonathan Gibson,Signed,Boston Celtics,Boston Celtics
2018,4/6/2018, Waived by the Memphis Grizzlies.,Marquis Teague,Waived,no,no
2018,4/6/2018, Signed a contract for the rest of the season with the Cleveland Cavaliers,Okaro White,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2021,4/6/2021, Signed a contract for the rest of the season with the Los Angeles Lakers,Ben McLemore,Signed,Los Angeles Lakers,Los Angeles Lakers
2021,4/6/2021, Signed a 10-day contract with the Orlando Magic.,Devin Cannady,Signed,Orlando Magic.,Orlando Magic
2022,4/6/2022, Waived by the Oklahoma City Thunder.,Olivier Sarr,Waived,no,no
2022,4/6/2022, Signed a two-way contract with the Oklahoma City Thunder,Melvin Frazier,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2008,4/7/2008, Recalled from the Idaho Stampede of the G-League.,Josh McRoberts,Recalled,no,no
2013,4/7/2013," Signed a 10-day contract with the Golden State Warriors, then signed a contract for the rest of the season.",Scott Machado,Signed,"Golden State Warriors, then si","Golden State Warriors, then si"
2014,4/7/2014, Not re-signed by Philadelphia 76ers,James Nunnally,Not,no,no
2016,4/7/2016, Signed a contract with the Memphis Grizzlies,Xavier Munford,Signed,Memphis Grizzlies,Memphis Grizzlies
2019,4/7/2019, Converted from a two-way contract to a regular contract by the Miami Heat.,Yante Maten,Converted,no,no
