Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2018,3/8/2018, Signed a contract for the rest of the season with the Minnesota Timberwolves,Derrick Rose,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2018,3/8/2018, Signed a 10-day contract with the Orlando Magic.,Rodney Purvis,Signed,Orlando Magic.,Orlando Magic
2019,3/8/2019, Signed a 10-day contract with the Atlanta Hawks.,Tyler Zeller,Signed,Atlanta Hawks.,Atlanta Hawks
2019,3/8/2019, Assigned to the Northern Arizona Suns of the G-League.,Elie Okobo,Assigned,no,no
2020,3/8/2020, Signed a multi-year contract with the Memphis Grizzlies,Jontay Porter,Signed,Memphis Grizzlies,Memphis Grizzlies
2020,3/8/2020, Assigned to the Grand Rapids Drive of the G-League.,Donta Hall,Assigned,no,no
2021,3/8/2021, Signed a two-way contract with the Houston Rockets,Anthony Lamb,Signed,Houston Rockets,Houston Rockets
2021,3/8/2021, Waived by the Houston Rockets.,Mason Jones,Waived,no,no
2021,3/8/2021, Signed a contract for the rest of the season with the Brooklyn Nets,Blake Griffin,Signed,Brooklyn Nets,Brooklyn Nets
2022,3/8/2022, Signed a contract with the Miami Heat,Haywood Highsmith,Signed,Miami Heat,Miami Heat
2022,3/8/2022, Waived by the Washington Wizards.,Joel Ayayi,Waived,no,no
2014,3/9/2014, Recalled from the Bakersfield Jam of the G-League.,Dwight Buycks,Recalled,no,no
2016,3/9/2016, Signed a contract with the Cleveland Cavaliers,Jordan McRae,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2016,3/9/2016, Signed a 2nd 10-day contract with the Brooklyn Nets.,Sean Kilpatrick,Signed,Brooklyn Nets.,Brooklyn Nets
2017,3/9/2017, Signed a 2nd 10-day contract with the Charlotte Hornets.,Briante Weber,Signed,Charlotte Hornets.,Charlotte Hornets
2017,3/9/2017, Signed a 10-day contract with the Dallas Mavericks.,Jarrod Uthoff,Signed,Dallas Mavericks.,Dallas Mavericks
2018,3/9/2018, Signed a 10-day contract with the Los Angeles Lakers.,Derrick Williams,Signed,Los Angeles Lakers.,Los Angeles Lakers
2018,3/9/2018, Recalled from the Raptors 905 of the G-League.,Nigel Hayes,Recalled,no,no
2019,3/9/2019, Signed a 2nd 10-day contract with the Minnesota Timberwolves.,Cameron Reynolds,Signed,Minnesota Timberwolves.,Minnesota Timberwolves
2020,3/9/2020, Recalled from the of the G-League.,Justise Winslow,Recalled,no,no
2020,3/9/2020, Assigned to the of the G-League.,Justise Winslow,Assigned,no,no
2020,3/9/2020, Recalled from the Grand Rapids Drive of the G-League.,Donta Hall,Recalled,no,no
2020,3/9/2020, Signed a 10-day contract with the Los Angeles Clippers.,Joakim Noah,Signed,Los Angeles Clippers.,Los Angeles Clippers
2020,3/9/2020, Recalled from the of the G-League.,Rayjon Tucker,Recalled,no,no
2022,3/9/2022, Assigned to the of the G-League.,James Wiseman,Assigned,no,no
2022,3/9/2022, Signed a two-way contract with the Washington Wizards,Jordan Schakel,Signed,Washington Wizards,Washington Wizards
2022,3/9/2022, Suspended by the league. (1-game suspension),Domantas Sabonis,Suspended,no,no
2021,5/1/2021, Signed a contract with the Cleveland Cavaliers,Mfiondu Kabengele,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2018,5/10/2018, Announced retirement.,Nick Collison,Announced,no,no
2021,5/10/2021, Signed a 10-day contract with the Houston Rockets.,Cameron Oliver,Signed,Houston Rockets.,Houston Rockets
2018,5/11/2018, Waived by the Atlanta Hawks.,Tyler Cavanaugh,Waived,no,no
2021,5/11/2021, Signed a two-way contract with the Philadelphia 76ers,Gary Clark,Signed,Philadelphia 76ers,Philadelphia 76ers
2021,5/12/2021, Waived by the Milwaukee Bucks.,Rodions Kurucs,Waived,no,no
2021,5/12/2021, Signed a contract for the rest of the season with the Orlando Magic,Ignas Brazdeikis,Signed,Orlando Magic,Orlando Magic
2021,5/13/2021, Converted from a two-way contract to a regular contract by the Golden State Warriors.,Juan Toscano-Anderson,Converted,no,no
2021,5/13/2021, Signed a contract with the Milwaukee Bucks,Elijah Bryant,Signed,Milwaukee Bucks,Milwaukee Bucks
2021,5/13/2021, Waived by the Houston Rockets.,Khyri Thomas,Waived,no,no
2021,5/13/2021, Signed a contract for the rest of the season with the Brooklyn Nets,Mike James,Signed,Brooklyn Nets,Brooklyn Nets
2021,5/13/2021, Signed a two-way contract with the Golden State Warriors,Jordan Bell,Signed,Golden State Warriors,Golden State Warriors
2021,5/13/2021, Waived by the Houston Rockets.,DaQuan Jeffries,Waived,no,no
2021,5/14/2021, Signed a 10-day contract with the Houston Rockets.,Cameron Reynolds,Signed,Houston Rockets.,Houston Rockets
2021,5/14/2021, Signed a contract with the Miami Heat,Omer Yurtseven,Signed,Miami Heat,Miami Heat
2021,5/14/2021, Suspended by the league. (1-game suspension),Dwight Howard,Suspended,no,no
2021,5/14/2021, Signed a 2nd 10-day contract with the Cleveland Cavaliers.,Anderson Varejão,Signed,Cleveland Cavaliers.,Cleveland Cavaliers
2021,5/14/2021, Signed a multi-year contract with the Houston Rockets,Khyri Thomas,Signed,Houston Rockets,Houston Rockets
2021,5/15/2021, Signed a contract with the Oklahoma City Thunder,Charlie Brown Jr.,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2021,5/15/2021, Claimed on waivers by the San Antonio Spurs from the Houston Rockets,DaQuan Jeffries,Claimed,an Antonio Spurs from the Hous,an Antonio Spurs from the Hous
2021,5/16/2021, Signed a contract with the Golden State Warriors,Gary Payton II,Signed,Golden State Warriors,Golden State Warriors
2014,5/2/2014, Suspended by the league. (1-game suspension),Zach Randolph,Suspended,no,no
2021,5/2/2021, Signed a 10-day contract with the Orlando Magic.,Ignas Brazdeikis,Signed,Orlando Magic.,Orlando Magic
2021,5/2/2021, Signed a contract for the rest of the season with the Philadelphia 76ers,Anthony Tolliver,Signed,Philadelphia 76ers,Philadelphia 76ers
2021,5/2/2021, Waived by the Orlando Magic.,Donta Hall,Waived,no,no
2020,5/25/2020, Announced retirement.,Jon Leuer,Announced,no,no
2021,5/3/2021, Signed a 2nd 10-day contract with the New York Knicks.,Jared Harper,Signed,New York Knicks.,New York Knicks
2021,5/3/2021, Signed a 2nd 10-day contract with the Brooklyn Nets.,Mike James,Signed,Brooklyn Nets.,Brooklyn Nets
2021,5/4/2021, Signed a 10-day contract with the Cleveland Cavaliers.,Anderson Varejão,Signed,Cleveland Cavaliers.,Cleveland Cavaliers
2021,5/4/2021, Signed a two-way contract with the Orlando Magic,Sindarius Thornwell,Signed,Orlando Magic,Orlando Magic
2021,5/4/2021, Waived by the Orlando Magic.,Devin Cannady,Waived,no,no
2021,5/5/2021, Signed a 2nd 10-day contract with the Oklahoma City Thunder.,Charlie Brown Jr.,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2022,5/5/2022, Suspended by the league. (1-game suspension),Dillon Brooks,Suspended,no,no
2021,5/6/2021, Waived by the Philadelphia 76ers.,Mason Jones,Waived,no,no
2021,5/7/2021, Signed a 10-day contract with the Houston Rockets.,Khyri Thomas,Signed,Houston Rockets.,Houston Rockets
2021,5/7/2021, Converted from a two-way contract to a regular contract by the New Orleans Pelicans.,Naji Marshall,Converted,no,no
2022,5/7/2022, Signed a contract extension with the Los Angeles Clippers,Robert Covington,Signed,Los Angeles Clippers,Los Angeles Clippers
2021,5/9/2021, Signed a contract for the rest of the season with the Orlando Magic,Donta Hall,Signed,Orlando Magic,Orlando Magic
2016,11/1/2016, Traded by the Oklahoma City Thunder with a 2020 1st round draft pick (Tyrese Maxey was later selected) to the Philadelphia 76ers for Jerami Grant.,Ersan İlyasova,Traded,no,no
2016,11/1/2016, Traded by the Oklahoma City Thunder (as a future 2020 1st round draft pick) with Ersan İlyasova to the Philadelphia 76ers for Jerami Grant.,Tyrese Maxey,Traded,no,no
2016,11/1/2016, Traded by the Philadelphia 76ers to the Oklahoma City Thunder for Ersan İlyasova and a 2020 1st round draft pick (Tyrese Maxey was later selected).,Jerami Grant,Traded,no,no
2017,11/1/2017, Recalled from the of the G-League.,Michael Carter-Williams,Recalled,no,no
2018,11/1/2018, Waived by the Memphis Grizzlies.,Andrew Harrison,Waived,no,no
2019,11/1/2019, Recalled from the of the G-League.,C.J. Miles,Recalled,no,no
2019,11/1/2019, Signed a multi-year contract with the Orlando Magic,Amile Jefferson,Signed,Orlando Magic,Orlando Magic
2019,11/1/2019, Assigned to the of the G-League.,C.J. Miles,Assigned,no,no
2021,11/1/2021, Recalled from the South Bay Lakers of the G-League.,Wayne Ellington,Recalled,no,no
2021,11/1/2021, Assigned to the South Bay Lakers of the G-League.,Wayne Ellington,Assigned,no,no
2015,11/10/2015, Signed a contract with the New Orleans Pelicans,Jimmer Fredette,Signed,New Orleans Pelicans,New Orleans Pelicans
2015,11/10/2015, Traded by the Miami Heat with James Ennis to the Memphis Grizzlies for Jarnell Stokes and Beno Udrih.,Mario Chalmers,Traded,no,no
2015,11/10/2015, Traded by the Miami Heat with Mario Chalmers to the Memphis Grizzlies for Jarnell Stokes and Beno Udrih.,James Ennis III,Traded,no,no
2017,11/10/2017, Waived by the New Orleans Pelicans.,Josh Smith,Waived,no,no
2017,11/10/2017, Recalled from the of the G-League.,Marcus Georges-Hunt,Recalled,no,no
2017,11/10/2017, Assigned to the of the G-League.,Wayne Selden,Assigned,no,no
2018,11/10/2018, Assigned to the of the G-League.,Isaiah Briscoe,Assigned,no,no
2021,11/10/2021, Assigned to the Birmingham Squadron of the G-League.,Didi Louzada,Assigned,no,no
2010,11/11/2010, Waived by the San Antonio Spurs.,Garrett Temple,Waived,no,no
2017,11/11/2017, Recalled from the of the G-League.,Wayne Selden,Recalled,no,no
2021,11/11/2021, Assigned to the Agua Caliente Clippers of the G-League.,Serge Ibaka,Assigned,no,no
2017,11/12/2017, Waived by the New York Knicks.,Mindaugas Kuzminskas,Waived,no,no
2018,11/12/2018," Traded by the Minnesota Timberwolves with Justin Patton to the Philadelphia 76ers for Jerryd Bayless, Robert Covington, Dario Šarić and a 2022 2nd round draft pick.",Jimmy Butler,Traded,no,no
2018,11/12/2018, Waived by the Washington Wizards.,Chasson Randle,Waived,no,no
2018,11/12/2018, Recalled from the of the G-League.,Harry Giles,Recalled,no,no
2018,11/12/2018," Traded by the Philadelphia 76ers with Robert Covington, Dario Šarić and a 2022 2nd round draft pick to the Minnesota Timberwolves for Jimmy Butler and Justin Patton.",Jerryd Bayless,Traded,no,no
2018,11/12/2018," Traded by the Philadelphia 76ers with Jerryd Bayless, Robert Covington and a 2022 2nd round draft pick to the Minnesota Timberwolves for Jimmy Butler and Justin Patton.",Dario Šarić,Traded,no,no
2018,11/12/2018," Traded by the Philadelphia 76ers with Jerryd Bayless, Dario Šarić and a 2022 2nd round draft pick to the Minnesota Timberwolves for Jimmy Butler and Justin Patton.",Robert Covington,Traded,no,no
2018,11/12/2018," Traded by the Minnesota Timberwolves with Jimmy Butler to the Philadelphia 76ers for Jerryd Bayless, Robert Covington, Dario Šarić and a 2022 2nd round draft pick.",Justin Patton,Traded,no,no
2019,11/12/2019, Assigned to the Maine Red Claws of the G-League.,Grant Williams,Assigned,no,no
2019,11/12/2019, Recalled from the Maine Red Claws of the G-League.,Grant Williams,Recalled,no,no
2005,11/13/2005, Assigned to the Tulsa 66ers of the G-League.,Ersan İlyasova,Assigned,no,no
2018,11/13/2018, Assigned to the of the G-League.,Raul Neto,Assigned,no,no
2018,11/13/2018, Suspended from the Golden State Warriors. (1-game suspension),Draymond Green,Suspended,no,no
2018,11/13/2018, Assigned to the Northern Arizona Suns of the G-League.,Elie Okobo,Assigned,no,no
2019,11/13/2019, Assigned to the Wisconsin Herd of the G-League.,Thanasis Antetokounmpo,Assigned,no,no
2019,11/13/2019, Signed a contract with the Brooklyn Nets,Iman Shumpert,Signed,Brooklyn Nets,Brooklyn Nets
2019,11/13/2019, Assigned to the of the G-League.,Justin James,Assigned,no,no
2021,11/13/2021, Assigned to the Texas Legends of the G-League.,Moses Brown,Assigned,no,no
2021,11/13/2021, Assigned to the Texas Legends of the G-League.,Josh Green,Assigned,no,no
2012,11/14/2012, Assigned to the of the G-League.,Scott Machado,Assigned,no,no
2014,11/14/2014, Assigned to the of the G-League.,Justin Holiday,Assigned,no,no
2016,11/14/2016, Assigned to the Delaware Blue Coats of the G-League.,Jerryd Bayless,Assigned,no,no
2017,11/14/2017, Assigned to the South Bay Lakers of the G-League.,Josh Hart,Assigned,no,no
2019,11/14/2019, Recalled from the Wisconsin Herd of the G-League.,Thanasis Antetokounmpo,Recalled,no,no
2021,11/14/2021, Recalled from the Texas Legends of the G-League.,Josh Green,Recalled,no,no
2021,11/14/2021, Recalled from the Texas Legends of the G-League.,Moses Brown,Recalled,no,no
2021,11/14/2021, Recalled from the Birmingham Squadron of the G-League.,Didi Louzada,Recalled,no,no
2012,11/15/2012, Signed as a free agent with the Washington Wizards.,Shaun Livingston,Signed,Washington Wizards.,Washington Wizards
2014,11/15/2014, Signed a contract with the Philadelphia 76ers,Robert Covington,Signed,Philadelphia 76ers,Philadelphia 76ers
2014,11/15/2014, Recalled from the of the G-League.,Justin Holiday,Recalled,no,no
2018,11/15/2018, Assigned to the Maine Red Claws of the G-League.,Brad Wanamaker,Assigned,no,no
2018,11/15/2018, Recalled from the Grand Rapids Drive of the G-League.,Bruce Brown,Recalled,no,no
2018,11/15/2018, Assigned to the Grand Rapids Drive of the G-League.,Bruce Brown,Assigned,no,no
2016,11/16/2016, Recalled from the Delaware Blue Coats of the G-League.,Jerryd Bayless,Recalled,no,no
2016,11/16/2016, Assigned to the Delaware Blue Coats of the G-League.,Danuel House Jr.,Assigned,no,no
2018,11/16/2018, Assigned to the of the G-League.,Isaiah Briscoe,Assigned,no,no
2018,11/16/2018, Assigned to the Grand Rapids Drive of the G-League.,Bruce Brown,Assigned,no,no
2018,11/16/2018, Recalled from the Maine Red Claws of the G-League.,Brad Wanamaker,Recalled,no,no
2020,11/16/2020," Traded by the Phoenix Suns with Ty Jerome, Jalen Lecque, Kelly Oubre Jr. and a 2022 1st round draft pick to the Oklahoma City Thunder for Abdel Nader and Chris Paul.",Ricky Rubio,Traded,no,no
2020,11/16/2020," Traded by the Phoenix Suns with Ty Jerome, Jalen Lecque, Ricky Rubio and a 2022 1st round draft pick to the Oklahoma City Thunder for Abdel Nader and Chris Paul.",Kelly Oubre Jr.,Traded,no,no
2020,11/16/2020," Traded by the Phoenix Suns with Jalen Lecque, Kelly Oubre Jr., Ricky Rubio and a 2022 1st round draft pick to the Oklahoma City Thunder for Abdel Nader and Chris Paul.",Ty Jerome,Traded,no,no
2020,11/16/2020," Traded by the Phoenix Suns with Ty Jerome, Kelly Oubre Jr., Ricky Rubio and a 2022 1st round draft pick to the Oklahoma City Thunder for Abdel Nader and Chris Paul.",Jalen Lecque,Traded,no,no
2020,11/16/2020," Traded by the Oklahoma City Thunder with Abdel Nader to the Phoenix Suns for Ty Jerome, Jalen Lecque, Kelly Oubre Jr., Ricky Rubio and a 2022 1st round draft pick.",Chris Paul,Traded,no,no
2020,11/16/2020, Signed a multi-year contract with the Orlando Magic,Chuma Okeke,Signed,Orlando Magic,Orlando Magic
2020,11/16/2020," Traded by the Oklahoma City Thunder with Chris Paul to the Phoenix Suns for Ty Jerome, Jalen Lecque, Kelly Oubre Jr., Ricky Rubio and a 2022 1st round draft pick.",Abdel Nader,Traded,no,no
2021,11/16/2021, Signed a two-way contract with the Los Angeles Lakers,Chaundee Brown Jr.,Signed,Los Angeles Lakers,Los Angeles Lakers
2021,11/16/2021, Assigned to the Rio Grande Valley Vipers of the G-League.,Usman Garuba,Assigned,no,no
2021,11/16/2021, Waived by the Los Angeles Lakers.,Sekou Doumbouya,Waived,no,no
1994,11/17/1994," Traded by the Washington Bullets (as a future 1998 1st round draft pick) with Tom Gugliotta, a 1996 1st round draft pick (Todd Fuller was later selected) and a 2000 1st round draft pick (Chris Mihm was later selected) to the Golden State Warriors for Chris Webber.",Vince Carter,,no,no
2010,11/17/2010, Signed as a free agent with the San Antonio Spurs.,Danny Green,Signed,San Antonio Spurs.,San Antonio Spurs
2016,11/17/2016, Signed a contract with the Dallas Mavericks,Jonathan Gibson,Signed,Dallas Mavericks,Dallas Mavericks
2017,11/17/2017, Signed a two-way contract with the Dallas Mavericks,Antonius Cleveland,Signed,Dallas Mavericks,Dallas Mavericks
2017,11/17/2017, Waived by the Dallas Mavericks.,Gian Clavell,Waived,no,no
2017,11/17/2017, Signed a multi-year contract with the Philadelphia 76ers,Robert Covington,Signed,Philadelphia 76ers,Philadelphia 76ers
2018,11/17/2018, Recalled from the of the G-League.,Isaiah Briscoe,Recalled,no,no
2020,11/17/2020, Traded by the Utah Jazz (as a future 2020 1st round draft pick) with Ante Tomic to the New York Knicks for a 2020 1st round draft pick (Udoka Azubuike was later selected) and a 2020 2nd round draft pick (Saben Lee was later selected).,Leandro Bolmaro,Traded,no,no
2013,11/18/2013, Signed as a free agent with the Golden State Warriors.,Dewayne Dedmon,Signed,Golden State Warriors.,Golden State Warriors
2014,11/18/2014, Signed a contract extension with the Sacramento Kings,Rudy Gay,Signed,Sacramento Kings,Sacramento Kings
2016,11/18/2016, Waived by the Dallas Mavericks.,Quincy Acy,Waived,no,no
2018,11/18/2018, Recalled from the Grand Rapids Drive of the G-League.,Bruce Brown,Recalled,no,no
2019,11/18/2019, Waived by the Houston Rockets.,Ryan Anderson,Waived,no,no
2020,11/18/2020, Drafted by the Memphis Grizzlies in the 2nd round (40th pick) of the 2020 NBA Draft.,Robert Woodard II,Drafted,emphis Grizzlies in the 2nd ro,emphis Grizzlies in the 2nd ro
2020,11/18/2020, Drafted by the Sacramento Kings in the 1st round (12th pick) of the 2020 NBA Draft.,Tyrese Haliburton,Drafted,acramento Kings in the 1st rou,acramento Kings in the 1st rou
2020,11/18/2020, Drafted by the Denver Nuggets in the 1st round (22nd pick) of the 2020 NBA Draft.,Zeke Nnaji,Drafted,enver Nuggets in the 1st round,enver Nuggets in the 1st round
2020,11/18/2020, Traded by the Dallas Mavericks to the Philadelphia 76ers for Tyler Bey and Josh Richardson. Philadelphia also received a trade exception from Dallas.,Seth Curry,Traded,no,no
2020,11/18/2020, Drafted by the Atlanta Hawks in the 1st round (6th pick) of the 2020 NBA Draft.,Onyeka Okongwu,Drafted,tlanta Hawks in the 1st round ,tlanta Hawks in the 1st round 
2020,11/18/2020, Drafted by the Boston Celtics in the 1st round (14th pick) of the 2020 NBA Draft.,Aaron Nesmith,Drafted,oston Celtics in the 1st round,oston Celtics in the 1st round
2020,11/18/2020, Drafted by the Washington Wizards in the 2nd round (37th pick) of the 2020 NBA Draft.,Vit Krejci,Drafted,ashington Wizards in the 2nd r,ashington Wizards in the 2nd r
2020,11/18/2020, Drafted by the Charlotte Hornets in the 1st round (3rd pick) of the 2020 NBA Draft.,LaMelo Ball,Drafted,harlotte Hornets in the 1st ro,harlotte Hornets in the 1st ro
2020,11/18/2020, Drafted by the Orlando Magic in the 1st round (15th pick) of the 2020 NBA Draft.,Cole Anthony,Drafted,rlando Magic in the 1st round ,rlando Magic in the 1st round 
2020,11/18/2020, Drafted by the New Orleans Pelicans in the 2nd round (39th pick) of the 2020 NBA Draft.,Elijah Hughes,Drafted,ew Orleans Pelicans in the 2nd,ew Orleans Pelicans in the 2nd
2020,11/18/2020, Drafted by the New York Knicks in the 1st round (23rd pick) of the 2020 NBA Draft.,Leandro Bolmaro,Drafted,ew York Knicks in the 1st roun,ew York Knicks in the 1st roun
2020,11/18/2020, Drafted by the Oklahoma City Thunder in the 2nd round (53rd pick) of the 2020 NBA Draft.,Cassius Winston,Drafted,klahoma City Thunder in the 2n,klahoma City Thunder in the 2n
2020,11/18/2020, Drafted by the New Orleans Pelicans in the 2nd round (60th pick) of the 2020 NBA Draft.,Sam Merrill,Drafted,ew Orleans Pelicans in the 2nd,ew Orleans Pelicans in the 2nd
2020,11/18/2020, Traded by the Philadelphia 76ers with Josh Richardson to the Dallas Mavericks for Seth Curry. Philadelphia also received a trade exception from Dallas.,Tyler Bey,Traded,no,no
2020,11/18/2020, Drafted by the New York Knicks in the 1st round (8th pick) of the 2020 NBA Draft.,Obi Toppin,Drafted,ew York Knicks in the 1st roun,ew York Knicks in the 1st roun
2020,11/18/2020, Drafted by the Cleveland Cavaliers in the 1st round (5th pick) of the 2020 NBA Draft.,Isaac Okoro,Drafted,leveland Cavaliers in the 1st ,leveland Cavaliers in the 1st 
2020,11/18/2020, Drafted by the Philadelphia 76ers in the 2nd round (36th pick) of the 2020 NBA Draft.,Tyler Bey,Drafted,hiladelphia 76ers in the 2nd r,hiladelphia 76ers in the 2nd r
2020,11/18/2020, Drafted by the Chicago Bulls in the 2nd round (44th pick) of the 2020 NBA Draft.,Marko Simonovic,Drafted,hicago Bulls in the 2nd round ,hicago Bulls in the 2nd round 
2020,11/18/2020, Drafted by the Golden State Warriors in the 1st round (2nd pick) of the 2020 NBA Draft.,James Wiseman,Drafted,olden State Warriors in the 1s,olden State Warriors in the 1s
2020,11/18/2020, Drafted by the Atlanta Hawks in the 2nd round (50th pick) of the 2020 NBA Draft.,Skylar Mays,Drafted,tlanta Hawks in the 2nd round ,tlanta Hawks in the 2nd round 
2020,11/18/2020, Drafted by the Indiana Pacers in the 2nd round (54th pick) of the 2020 NBA Draft.,Cassius Stanley,Drafted,ndiana Pacers in the 2nd round,ndiana Pacers in the 2nd round
2020,11/18/2020, Traded by the Philadelphia 76ers with Tyler Bey to the Dallas Mavericks for Seth Curry. Philadelphia also received a trade exception from Dallas.,Josh Richardson,Traded,no,no
2020,11/18/2020, Drafted by the Toronto Raptors in the 1st round (29th pick) of the 2020 NBA Draft.,Malachi Flynn,Drafted,oronto Raptors in the 1st roun,oronto Raptors in the 1st roun
2020,11/18/2020, Drafted by the Charlotte Hornets in the 2nd round (56th pick) of the 2020 NBA Draft.,Grant Riller,Drafted,harlotte Hornets in the 2nd ro,harlotte Hornets in the 2nd ro
2020,11/18/2020, Drafted by the Oklahoma City Thunder in the 1st round (25th pick) of the 2020 NBA Draft.,Immanuel Quickley,Drafted,klahoma City Thunder in the 1s,klahoma City Thunder in the 1s
2020,11/18/2020, Drafted by the Philadelphia 76ers in the 2nd round (49th pick) of the 2020 NBA Draft.,Isaiah Joe,Drafted,hiladelphia 76ers in the 2nd r,hiladelphia 76ers in the 2nd r
2020,11/18/2020, Traded by the Utah Jazz with Saben Lee to the Detroit Pistons for cash.,Tony Bradley,Traded,no,no
2020,11/18/2020, Drafted by the Phoenix Suns in the 1st round (10th pick) of the 2020 NBA Draft.,Jalen Smith,Drafted,hoenix Suns in the 1st round (,hoenix Suns in the 1st round (
2020,11/18/2020, Drafted by the Minnesota Timberwolves in the 1st round (1st pick) of the 2020 NBA Draft.,Anthony Edwards,Drafted,innesota Timberwolves in the 1,innesota Timberwolves in the 1
2020,11/18/2020, Drafted by the Golden State Warriors in the 2nd round (48th pick) of the 2020 NBA Draft.,Nico Mannion,Drafted,olden State Warriors in the 2n,olden State Warriors in the 2n
2020,11/18/2020, Drafted by the Milwaukee Bucks in the 2nd round (45th pick) of the 2020 NBA Draft.,Jordan Nwora,Drafted,ilwaukee Bucks in the 2nd roun,ilwaukee Bucks in the 2nd roun
2020,11/18/2020," Traded by the Orlando Magic (as a future 2020 2nd round draft pick) to the Milwaukee Bucks for a 2026 2nd round draft pick and a future 2nd round draft pick. 2026 2nd-rd pick is MIL own 2nd-rd pick will be either 2022, 2023, or 2024 IND pick",Jordan Nwora,Traded,no,no
2020,11/18/2020, Drafted by the Portland Trail Blazers in the 2nd round (46th pick) of the 2020 NBA Draft.,CJ Elleby,Drafted,ortland Trail Blazers in the 2,ortland Trail Blazers in the 2
2020,11/18/2020, Drafted by the Philadelphia 76ers in the 2nd round (34th pick) of the 2020 NBA Draft.,Théo Maledon,Drafted,hiladelphia 76ers in the 2nd r,hiladelphia 76ers in the 2nd r
2020,11/18/2020, Traded by the Oklahoma City Thunder to the Los Angeles Lakers for Danny Green and Jaden McDaniels.,Dennis Schröder,Traded,no,no
2020,11/18/2020, Drafted by the San Antonio Spurs in the 2nd round (41st pick) of the 2020 NBA Draft.,Tre Jones,Drafted,an Antonio Spurs in the 2nd ro,an Antonio Spurs in the 2nd ro
2020,11/18/2020, Drafted by the Philadelphia 76ers in the 2nd round (58th pick) of the 2020 NBA Draft.,Paul Reed,Drafted,hiladelphia 76ers in the 2nd r,hiladelphia 76ers in the 2nd r
2020,11/18/2020, Drafted by the Portland Trail Blazers in the 1st round (16th pick) of the 2020 NBA Draft.,Isaiah Stewart,Drafted,ortland Trail Blazers in the 1,ortland Trail Blazers in the 1
2020,11/18/2020, Drafted by the Charlotte Hornets in the 2nd round (32nd pick) of the 2020 NBA Draft.,Vernon Carey Jr.,Drafted,harlotte Hornets in the 2nd ro,harlotte Hornets in the 2nd ro
2020,11/18/2020, Drafted by the Utah Jazz in the 2nd round (38th pick) of the 2020 NBA Draft.,Saben Lee,Drafted,tah Jazz in the 2nd round (38t,tah Jazz in the 2nd round (38t
2020,11/18/2020, Traded by the Los Angeles Lakers with Jaden McDaniels to the Oklahoma City Thunder for Dennis Schroder.,Danny Green,Traded,no,no
2020,11/18/2020, Drafted by the Toronto Raptors in the 2nd round (59th pick) of the 2020 NBA Draft.,Jalen Harris,Drafted,oronto Raptors in the 2nd roun,oronto Raptors in the 2nd roun
2020,11/18/2020, Drafted by the Sacramento Kings in the 2nd round (35th pick) of the 2020 NBA Draft.,Xavier Tillman Sr.,Drafted,acramento Kings in the 2nd rou,acramento Kings in the 2nd rou
2020,11/18/2020, Drafted by the Dallas Mavericks in the 2nd round (31st pick) of the 2020 NBA Draft.,Tyrell Terry,Drafted,allas Mavericks in the 2nd rou,allas Mavericks in the 2nd rou
2020,11/18/2020, Drafted by the Miami Heat in the 1st round (20th pick) of the 2020 NBA Draft.,Precious Achiuwa,Drafted,iami Heat in the 1st round (20,iami Heat in the 1st round (20
2020,11/18/2020, Drafted by the Washington Wizards in the 1st round (9th pick) of the 2020 NBA Draft.,Deni Avdija,Drafted,ashington Wizards in the 1st r,ashington Wizards in the 1st r
2020,11/18/2020, Drafted by the Minnesota Timberwolves in the 2nd round (33rd pick) of the 2020 NBA Draft.,Daniel Oturu,Drafted,innesota Timberwolves in the 2,innesota Timberwolves in the 2
2020,11/18/2020, Drafted by the Milwaukee Bucks in the 1st round (24th pick) of the 2020 NBA Draft.,R.J. Hampton,Drafted,ilwaukee Bucks in the 1st roun,ilwaukee Bucks in the 1st roun
2020,11/18/2020, Drafted by the San Antonio Spurs in the 1st round (11th pick) of the 2020 NBA Draft.,Devin Vassell,Drafted,an Antonio Spurs in the 1st ro,an Antonio Spurs in the 1st ro
2020,11/18/2020, Drafted by the Boston Celtics in the 1st round (26th pick) of the 2020 NBA Draft.,Payton Pritchard,Drafted,oston Celtics in the 1st round,oston Celtics in the 1st round
2020,11/18/2020, Traded by the Los Angeles Lakers with Danny Green to the Oklahoma City Thunder for Dennis Schroder.,Jaden McDaniels,Traded,no,no
2020,11/18/2020, Drafted by the Chicago Bulls in the 1st round (4th pick) of the 2020 NBA Draft.,Patrick Williams,Drafted,hicago Bulls in the 1st round ,hicago Bulls in the 1st round 
2020,11/18/2020, Drafted by the Dallas Mavericks in the 1st round (18th pick) of the 2020 NBA Draft.,Josh Green,Drafted,allas Mavericks in the 1st rou,allas Mavericks in the 1st rou
2020,11/18/2020, Drafted by the Brooklyn Nets in the 1st round (19th pick) of the 2020 NBA Draft.,Saddiq Bey,Drafted,rooklyn Nets in the 1st round ,rooklyn Nets in the 1st round 
2020,11/18/2020, Drafted by the Los Angeles Lakers in the 1st round (28th pick) of the 2020 NBA Draft.,Jaden McDaniels,Drafted,os Angeles Lakers in the 1st r,os Angeles Lakers in the 1st r
