GameId,Season,Date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,Home_team,Away_team,hm_date_id
22100048,2021-22 Regular Season,10/25/2021,Jarrett Allen,Lauri Markkanen,Evan Mobley,Collin Sexton,Darius Garland,Nikola Jokic,Michael Porter Jr.,Monte Morris,Will Barton,Aaron Gordon,DEN,CLE,DEN-10-25-2021
22100049,2021-22 Regular Season,10/25/2021,Jusuf Nurkic,Damian Lillard,Robert Covington,Nassir Little,CJ McCollum,Ivica Zubac,Nicolas Batum,Reggie Jackson,Paul George,Eric Bledsoe,LAC,POR,LAC-10-25-2021
22100050,2021-22 Regular Season,10/26/2021,Joel Embiid,Tyrese Maxey,Tobias Harris,Seth Curry,Danny Green,Mitchell Robinson,Julius Randle,RJ Barrett,Evan Fournier,Kemba Walker,NYK,PHI,NYK-10-26-2021
22100051,2021-22 Regular Season,10/26/2021,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,Luguentz Dort,OKC,GSW,OKC-10-26-2021
22100052,2021-22 Regular Season,10/26/2021,Christian Wood,Daniel Theis,Kevin Porter Jr.,Jae'Sean Tate,Jalen Green,Kristaps Porzingis,Dwight Powell,Luka Doncic,Tim Hardaway Jr.,Dorian Finney-Smith,DAL,HOU,DAL-10-26-2021
22100053,2021-22 Regular Season,10/26/2021,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,SAS,LAL,SAS-10-26-2021
22100054,2021-22 Regular Season,10/26/2021,Nikola Jokic,Aaron Gordon,Monte Morris,Michael Porter Jr.,Will Barton,Rudy Gobert,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Royce O'Neale,UTA,DEN,UTA-10-26-2021
22100055,2021-22 Regular Season,10/27/2021,Mason Plumlee,Gordon Hayward,LaMelo Ball,Miles Bridges,Kelly Oubre Jr.,Mo Bamba,Cole Anthony,Wendell Carter Jr.,Jalen Suggs,Franz Wagner,ORL,CHA,ORL-10-27-2021
22100056,2021-22 Regular Season,10/27/2021,Daniel Gafford,Kyle Kuzma,Spencer Dinwiddie,Bradley Beal,Kentavious Caldwell-Pope,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,BOS,WAS,BOS-10-27-2021
22100057,2021-22 Regular Season,10/27/2021,Bam Adebayo,Kyle Lowry,Duncan Robinson,Jimmy Butler,P.J. Tucker,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Blake Griffin,BKN,MIA,BKN-10-27-2021
22100058,2021-22 Regular Season,10/27/2021,Myles Turner,Chris Duarte,Justin Holiday,Domantas Sabonis,Malcolm Brogdon,Precious Achiuwa,Scottie Barnes,Fred VanVleet,OG Anunoby,Gary Trent Jr.,TOR,IND,TOR-10-27-2021
22100059,2021-22 Regular Season,10/27/2021,Clint Capela,Trae Young,De'Andre Hunter,John Collins,Bogdan Bogdanovic,Jonas Valanciunas,Herbert Jones,Devonte' Graham,Brandon Ingram,Nickeil Alexander-Walker,NOP,ATL,NOP-10-27-2021
22100060,2021-22 Regular Season,10/27/2021,Karl-Anthony Towns,Jarred Vanderbilt,Anthony Edwards,D'Angelo Russell,Jaden McDaniels,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Grayson Allen,George Hill,MIL,MIN,MIL-10-27-2021
22100061,2021-22 Regular Season,10/27/2021,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Derrick Favors,Shai Gilgeous-Alexander,Darius Bazley,Luguentz Dort,Josh Giddey,OKC,LAL,OKC-10-27-2021
22100062,2021-22 Regular Season,10/27/2021,Richaun Holmes,De'Aaron Fox,Tyrese Haliburton,Harrison Barnes,Maurice Harkless,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,PHX,SAC,PHX-10-27-2021
22100063,2021-22 Regular Season,10/27/2021,Steven Adams,Jaren Jackson Jr.,De'Anthony Melton,Desmond Bane,Ja Morant,Jusuf Nurkic,Damian Lillard,CJ McCollum,Nassir Little,Robert Covington,POR,MEM,POR-10-27-2021
